"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position"
"ASV_19023","ASV_19023",0.0112510534486582,0.976050639461817,0.0197356533055954,0.570087712549569,0,304.386,18144,1,0.001,"control_1984-2024_control_LIA",19023
"ASV_10826","ASV_10826",0.00919287351223479,0.976050639461817,0.00820809224134256,1.11997687671346,256.0228,9.1485,7329,1,0.04,"control_1984-2024_control_LIA",10826
"ASV_10673","ASV_10673",0.00911026095956236,0.976050639461817,0.0154818269611527,0.588448700687716,0,246.469,7159,1,0.001,"control_1984-2024_control_LIA",10673
"ASV_12161","ASV_12161",0.0089940119760479,0.976050639461817,0.0093751033313046,0.959350703476069,243.324,0,8848,1,0.027,"control_1984-2024_control_LIA",12161
"ASV_19374","ASV_19374",0.0078869039698381,0.976050639461817,0.0137537301394042,0.573437452232849,1.2576,212.7435,18637,1,0.016,"control_1984-2024_control_LIA",19374
"ASV_12311","ASV_12311",0.00731420122717528,0.976050639461817,0.00900307184478055,0.812411736047138,79.6332,170.6775,9032,1,0.013,"control_1984-2024_control_LIA",12311
"ASV_15991","ASV_15991",0.00595212907518297,0.976050639461817,0.00415141481067817,1.43375917527515,28.4652,165.391,13863,1,0.001,"control_1984-2024_control_LIA",15991
"ASV_18286","ASV_18286",0.00544516522510535,0.976050639461817,0.00952631127966867,0.571592200301765,0,147.3135,17091,1,0.001,"control_1984-2024_control_LIA",18286
"ASV_17512","ASV_17512",0.0667651038663414,0.965829344274414,0.0710456705305844,0.939749084887583,1843.1486,64.629,16361,1,0.001,"control_1984-2024_latrine_1984-2024",17512
"ASV_14446","ASV_14446",0.0362369705034376,0.965829344274414,0.0574797937900469,0.630429723457225,0,980.355,12519,1,0.001,"control_1984-2024_latrine_1984-2024",14446
"ASV_18754","ASV_18754",0.0226220521919125,0.965829344274414,0.0435232459570081,0.519769417342134,57.5602,619.2766,17983,1,0.038,"control_1984-2024_latrine_1984-2024",18754
"ASV_14196","ASV_14196",0.0225527093960228,0.965829344274414,0.0248824140149506,0.906371438979835,0,610.141,12177,1,0.001,"control_1984-2024_latrine_1984-2024",14196
"ASV_17700","ASV_17700",0.0203553249057441,0.965829344274414,0.0292802344341333,0.695189956608234,578.4574,41.9906,16614,1,0.001,"control_1984-2024_latrine_1984-2024",17700
"ASV_17380","ASV_17380",0.0189594145043247,0.965829344274414,0.0366216650305852,0.517710335903362,512.928,0,16167,1,0.01,"control_1984-2024_latrine_1984-2024",17380
"ASV_13117","ASV_13117",0.0187768241295187,0.965829344274414,0.0318521359618301,0.589499685422035,0,507.9882,10812,1,0.006,"control_1984-2024_latrine_1984-2024",13117
"ASV_17624","ASV_17624",0.0181329917941894,0.965829344274414,0.021868145191001,0.829196607019573,334.655,279.9876,16505,1,0.041,"control_1984-2024_latrine_1984-2024",17624
"ASV_18834","ASV_18834",0.0163201833370296,0.965829344274414,0.0194108757931759,0.840775218538423,441.6478,0.2026,18091,1,0.001,"control_1984-2024_latrine_1984-2024",18834
"ASV_14421","ASV_14421",0.011011288534043,0.965829344274414,0.020797807186713,0.529444687855254,0,297.8994,12488,1,0.005,"control_1984-2024_latrine_1984-2024",14421
"ASV_13169","ASV_13169",0.0269511236785688,0.967715864567162,0.0236264980602613,1.14071597110277,1.9958,731.1315,10509,1,0.003,"control_1984-2024_latrine_LIA",13169
"ASV_17750","ASV_17750",0.0267363421305537,0.967715864567162,0.046898646545077,0.570087712549569,0,723.325,16531,1,0.001,"control_1984-2024_latrine_LIA",17750
"ASV_18402","ASV_18402",0.0118242995490501,0.967715864567162,0.0154084546185237,0.767390360798099,5.9764,323.649,17347,1,0.003,"control_1984-2024_latrine_LIA",18402
"ASV_12161","ASV_12161",0.0089940119760479,0.967715864567162,0.0093751033313046,0.959350703476069,243.324,0,9296,1,0.024,"control_1984-2024_latrine_LIA",12161
"ASV_17552","ASV_17552",0.00819645893398388,0.967715864567162,0.0086545699702575,0.947067152054004,0,221.747,16265,1,0.004,"control_1984-2024_latrine_LIA",17552
"ASV_19558","ASV_19558",0.00440729651807496,0.967715864567162,0.00773090950928318,0.570087712549569,0,119.235,18937,1,0.046,"control_1984-2024_latrine_LIA",19558
"ASV_18900","ASV_18900",0.00401532120943299,0.967715864567162,0.00589245136755613,0.681434764407453,0,108.6305,18072,1,0.007,"control_1984-2024_latrine_LIA",18900
"ASV_13168","ASV_13168",0.00359349818880757,0.967715864567162,0.00469205603642896,0.765868557601993,0,97.2185,10508,1,0.031,"control_1984-2024_latrine_LIA",13168
"ASV_16317","ASV_16317",0.0034016226805648,0.967715864567162,0.00596684090129206,0.570087712549569,0,92.0275,14678,1,0.001,"control_1984-2024_latrine_LIA",16317
"ASV_18008","ASV_18008",0.00300676424927922,0.967715864567162,0.00527421339399204,0.570087712549569,0,81.345,16858,1,0.026,"control_1984-2024_latrine_LIA",18008
"ASV_19415","ASV_19415",0.0495752199305094,0.892369959669139,0.0720647764816932,0.68792581273187,0,1341.208,18727,1,0.003,"control_LIA-1931_control_1931-1962",19415
"ASV_18755","ASV_18755",0.0388104285256647,0.892369959669139,0.0549211301159444,0.706657500377938,0,1049.97733333333,17845,1,0.001,"control_LIA-1931_control_1931-1962",18755
"ASV_13800","ASV_13800",0.0210795199724009,0.892369959669139,0.0292930376689027,0.719608536699447,0.218,570.358,11374,1,0.005,"control_LIA-1931_control_1931-1962",13800
"ASV_12302","ASV_12302",0.0204360907814002,0.892369959669139,0.0256670113249619,0.796200637568016,43.928,562.228666666667,9443,1,0.024,"control_LIA-1931_control_1931-1962",12302
"ASV_19084","ASV_19084",0.0116552450654247,0.892369959669139,0.016950172564593,0.687618077102719,0.199,315.254666666667,18310,1,0.007,"control_LIA-1931_control_1931-1962",19084
"ASV_16733","ASV_16733",0.0103147039254824,0.892369959669139,0.0150100989817895,0.687184270936277,0,279.054,15337,1,0.037,"control_LIA-1931_control_1931-1962",16733
"ASV_10650","ASV_10650",0.0102685493211109,0.892369959669139,0.00876505525819678,1.17153275348813,0,277.805333333333,7479,1,0.002,"control_LIA-1931_control_1931-1962",10650
"ASV_16169","ASV_16169",0.00865219766228859,0.892369959669139,0.00701105767753994,1.23407880240467,256.085666666667,38.7293333333333,14594,1,0.008,"control_LIA-1931_control_1931-1962",16169
"ASV_19000","ASV_19000",0.00690125920997511,0.892369959669139,0.0100428072961744,0.687184270936277,0,186.706666666667,18204,1,0.001,"control_LIA-1931_control_1931-1962",19000
"ASV_17541","ASV_17541",0.00615438669985133,0.892369959669139,0.00669270383358008,0.91956656874195,64.7756666666667,158.953333333333,16337,1,0.027,"control_LIA-1931_control_1931-1962",17541
"ASV_17512","ASV_17512",0.0696369113624603,0.90477514354008,0.0688199680348596,1.01187073099463,571.092333333333,1843.1486,16281,1,0.012,"control_LIA-1931_control_1984-2024",17512
"ASV_18834","ASV_18834",0.0161371996747246,0.90477514354008,0.019129491489916,0.84357703304509,17.528,441.6478,18012,1,0.02,"control_LIA-1931_control_1984-2024",18834
"ASV_16169","ASV_16169",0.00923266799733866,0.90477514354008,0.00722996074337575,1.27700112421742,256.085666666667,14.6246,14552,1,0.001,"control_LIA-1931_control_1984-2024",16169
"ASV_17443","ASV_17443",0.00905392178605752,0.90477514354008,0.0113047703090275,0.800893918103529,7.302,247.8656,16162,1,0.031,"control_LIA-1931_control_1984-2024",17443
"ASV_12161","ASV_12161",0.00860783617949287,0.90477514354008,0.00881910973159987,0.97604366443588,26.119,243.324,9352,1,0.016,"control_LIA-1931_control_1984-2024",12161
"ASV_17980","ASV_17980",0.00826368743993494,0.90477514354008,0.0100007438736726,0.826307277170599,180.039666666667,147.6522,16875,1,0.017,"control_LIA-1931_control_1984-2024",17980
"ASV_10826","ASV_10826",0.00790010842512506,0.90477514354008,0.00799858971641441,0.987687668103884,53.6546666666667,256.0228,7763,1,0.02,"control_LIA-1931_control_1984-2024",10826
"ASV_17981","ASV_17981",0.0070577684137897,0.90477514354008,0.00649024077818341,1.087443232848,114.465333333333,188.0952,16876,1,0.026,"control_LIA-1931_control_1984-2024",17981
"ASV_17637","ASV_17637",0.00652466671595081,0.90477514354008,0.0133459052070035,0.48888903485744,175.836,4.5784,16435,1,0.002,"control_LIA-1931_control_1984-2024",17637
"ASV_19061","ASV_19061",0.00593635691579803,0.90477514354008,0.00684499500992879,0.867255112266296,0,160.6022,18318,1,0.021,"control_LIA-1931_control_1984-2024",19061
"ASV_18287","ASV_18287",0.027552857248466,0.932660401419383,0.0451981760787887,0.609601086566776,0,745.415,16891,1,0.001,"control_LIA-1931_control_LIA",18287
"ASV_18294","ASV_18294",0.0246376444641581,0.932660401419383,0.0422458331983919,0.583197030307262,0.559666666666667,667.1065,16898,1,0.001,"control_LIA-1931_control_LIA",18294
"ASV_19023","ASV_19023",0.0112510534486582,0.932660401419383,0.0199065279512817,0.565194165260439,0,304.386,17916,1,0.001,"control_LIA-1931_control_LIA",19023
"ASV_16169","ASV_16169",0.00923302777161726,0.932660401419383,0.00746191858131089,1.23735305752897,256.085666666667,8.1595,13629,1,0.003,"control_LIA-1931_control_LIA",16169
"ASV_10673","ASV_10673",0.00911026095956236,0.932660401419383,0.0156158712542703,0.583397545434493,0,246.469,6250,1,0.001,"control_LIA-1931_control_LIA",10673
"ASV_19374","ASV_19374",0.00786366156575737,0.932660401419383,0.0139132037255442,0.565194165260439,0,212.7435,18473,1,0.044,"control_LIA-1931_control_LIA",19374
"ASV_18286","ASV_18286",0.00544516522510535,0.932660401419383,0.00960879170427913,0.566685738715766,0,147.3135,16890,1,0.001,"control_LIA-1931_control_LIA",18286
"ASV_10652","ASV_10652",0.00532590374805944,0.932660401419383,0.00524460519744248,1.0155013671299,0,144.087,6226,1,0.001,"control_LIA-1931_control_LIA",10652
"ASV_14443","ASV_14443",0.00519832557108006,0.932660401419383,0.00552339466510405,0.941146864612496,0,140.6355,11003,1,0.003,"control_LIA-1931_control_LIA",14443
"ASV_10647","ASV_10647",0.00508022843202484,0.932660401419383,0.00444471649688068,1.1429814332568,2.172,139.6125,6221,1,0.007,"control_LIA-1931_control_LIA",10647
